ADM_SECT_GBN|ADM_CD|ADM_SECT_NM|LOWEST_ADM_SECT_NM|DEL_YMD|CHG_BEF_ADM_SECT_GBN|CRE_YMD|CHG_BEF_ADM_SECT_CD|COL_ADM_SECT_CD
L|4150011200|경기도 이천시 단월동|단월동||L|19960501|4153035021|26110
L|4150011300|경기도 이천시 대포동|대포동||L|19960501|4153035022|26110
L|4150011400|경기도 이천시 고담동|고담동||L|19960501|4153035023|26110
L|4150011500|경기도 이천시 장록동|장록동||L|19960501|4153035024|26110
L|4150025000|경기도 이천시 장호원읍|장호원읍||L|19960301|4184025300|26110
L|4150025021|경기도 이천시 장호원읍 장호원리|장호원리||L|19960301|4184025321|26110
L|4150025022|경기도 이천시 장호원읍 오남리|오남리||L|19960301|4184025322|26110
L|4150025023|경기도 이천시 장호원읍 진암리|진암리||L|19960301|4184025323|26110
L|4150025024|경기도 이천시 장호원읍 어석리|어석리||L|19960301|4184025324|26110
L|4150025025|경기도 이천시 장호원읍 대서리|대서리||L|19960301|4184025325|26110
L|4150025026|경기도 이천시 장호원읍 송산리|송산리||L|19960301|4184025326|26110
L|4150025027|경기도 이천시 장호원읍 방추리|방추리||L|19960301|4184025327|26110
L|4150025028|경기도 이천시 장호원읍 선읍리|선읍리||L|19960301|4184025328|26110
L|4150025029|경기도 이천시 장호원읍 이황리|이황리||L|19960301|4184025329|26110
L|4150025030|경기도 이천시 장호원읍 나래리|나래리||L|19960301|4184025330|26110
L|4150025031|경기도 이천시 장호원읍 와현리|와현리||L|19960301|4184025331|26110
L|4150025032|경기도 이천시 장호원읍 풍계리|풍계리||L|19960301|4184025332|26110
L|4150025033|경기도 이천시 장호원읍 노탑리|노탑리||L|19960301|4184025333|26110
L|4150025300|경기도 이천시 부발읍|부발읍||L|19960301|4184025600|26110
L|4150025321|경기도 이천시 부발읍 무촌리|무촌리||L|19960301|4184025621|26110
L|4150025322|경기도 이천시 부발읍 죽당리|죽당리||L|19960301|4184025622|26110
L|4150025323|경기도 이천시 부발읍 신원리|신원리||L|19960301|4184025623|26110
L|4150025324|경기도 이천시 부발읍 고백리|고백리||L|19960301|4184025624|26110
L|4150025325|경기도 이천시 부발읍 대관리|대관리||L|19960301|4184025625|26110
L|4150025326|경기도 이천시 부발읍 마암리|마암리||L|19960301|4184025626|26110
L|4150025327|경기도 이천시 부발읍 산촌리|산촌리||L|19960301|4184025627|26110
L|4150025328|경기도 이천시 부발읍 신하리|신하리||L|19960301|4184025628|26110
L|4150025329|경기도 이천시 부발읍 가좌리|가좌리||L|19960301|4184025629|26110
L|4150025330|경기도 이천시 부발읍 아미리|아미리||L|19960301|4184025630|26110
L|4150025331|경기도 이천시 부발읍 수정리|수정리||L|19960301|4184025631|26110
L|4150025332|경기도 이천시 부발읍 송온리|송온리||L|19960301|4184025632|26110
L|4150025333|경기도 이천시 부발읍 가산리|가산리||L|19960301|4184025633|26110
